anio,tipo_ingreso,ingreso_nominal,ingreso_real_nov2024,error_estandar_nominal,error_estandar_real
2006,Ingreso del trabajo,438175.8134185609,922360.0872460698,9002.002265818151,18949.214769547234
2009,Ingreso del trabajo,506891.4354848282,933187.1327275689,9825.079856170676,18087.972015210235
2011,Ingreso del trabajo,553284.1087584402,955521.6558258259,10970.858682304062,18946.672944339112
2013,Ingreso del trabajo,680982.7127391552,1124983.4414450815,12107.159501021119,20001.027495686893
2015,Ingreso del trabajo,763709.3220228531,1148618.8203223692,10633.851609895328,15993.312821282574
2017,Ingreso del trabajo,841159.8235129154,1205382.0270940098,14330.413147172523,20535.482039898205
2020,Ingreso del trabajo,818662.1758042738,1080634.0720616342,13603.428309835701,17956.52536898314
2022,Ingreso del trabajo,1068168.0421068997,1166439.501980732,11706.843695720927,12783.873315727235
2024,Ingreso del trabajo,1259979.8683364852,1259979.8683364852,10611.747309875065,10611.747309875065
2006,Ingreso autónomo,501639.4652471296,1055951.074345207,9488.229553316543,19972.723209731306
2009,Ingreso autónomo,583376.5485074798,1073996.225802271,11565.25563794583,21291.635629458262
2011,Ingreso autónomo,634965.4860161863,1096585.3943499515,12223.262432622918,21109.57422113978
2013,Ingreso autónomo,776992.7921706379,1283592.0926658963,12893.971936182992,21300.841638574297
2015,Ingreso autónomo,881094.1531323703,1325165.6063110782,11543.452810992345,17361.3530277325
2017,Ingreso autónomo,966961.0871357921,1385655.2378655914,15627.298449055788,22393.918677496946
2020,Ingreso autónomo,978534.4039926929,1291665.413270354,14913.155383347597,19685.365106018824
2022,Ingreso autónomo,1236533.9186818467,1350295.0392005718,12458.335828818832,13604.502725070135
2024,Ingreso autónomo,1456693.6215942472,1456693.6215942472,11596.78654700489,11596.78654700489
2006,Subsidios monetarios,7071.323665415213,14885.136315698985,107.24085043298987,225.74199016144345
2009,Subsidios monetarios,17580.695459726136,32366.060341356035,245.31990778843803,451.633950238515
2011,Subsidios monetarios,15995.530759564635,27624.28162176809,369.1548199531183,637.5303740590351
2013,Subsidios monetarios,20414.873762174866,33725.37145511298,321.8151333968769,531.6386003716411
2015,Subsidios monetarios,24484.253080147682,36824.31663254194,297.6236724466949,447.6260033598285
2017,Subsidios monetarios,28132.1547730796,40313.37778982298,375.92765003682086,538.7043225027638
2020,Subsidios monetarios,49778.4266713447,65707.52320617497,694.8190812508315,917.1611872510973
2022,Subsidios monetarios,68237.03201372146,74514.8389589834,547.3334510483958,597.6881285448477
2024,Subsidios monetarios,84572.63449342037,84572.63449342037,625.1100717918805,625.1100717918804
2006,Ingreso monetario,508710.78891254484,1070836.2106609084,9442.317815789282,19876.07900223644
2009,Ingreso monetario,600957.243967206,1106362.286143624,11492.211092579671,21157.1606214392
2011,Ingreso monetario,650961.0167757509,1124209.675971718,12181.154204346318,21036.8533109061
2013,Ingreso monetario,797407.6659328127,1317317.4641210095,12850.674619957927,21229.31447217048
2015,Ingreso monetario,905578.406212518,1361989.9229436314,11421.643501153625,17178.151825735025
2017,Ingreso monetario,995093.2419088717,1425968.615655414,15483.471738663817,22187.81500150525
2020,Ingreso monetario,1028312.8306195784,1357372.936417839,14722.311420909824,19433.451075600973
2022,Ingreso monetario,1304770.950695568,1424809.87815956,12307.452340371516,13439.737955685674
2024,Ingreso monetario,1541266.2560876675,1541266.2560876675,11451.082217717967,11451.082217717967
